"","nct_id","phase","enrollment","number_of_arms","has_dmc","Drug_Class","allocation","intervention_model","primary_purpose","masking","subject_masked","caregiver_masked","investigator_masked","outcomes_assessor_masked","Experimental","Control","Other","n_countries","lead_agency","n_collaborator","us_international","intervention_type","Disease_Group","duration","Therapy","Pivotal","SPA","Orphan","Breakthrough","RMAT","QIDP","Fast_Track","n_primary_endpoint","n_secondary_endpoint"
"2161","NCT02416453","Phase 2",6.04737217904628,"Less than or equal to three","True","Vaccine","Randomized","Parallel Assignment","Treatment","Triple or quadruple","TRUE","FALSE","TRUE","TRUE","1","0","0",0.693147180559945,"Industry",1.09861228866811,"International only","Biological","Infectious Disease",949,"Monotherapy","N","N","Yes","No","No","No","No","1-3","1-2"
"2162","NCT02416258","Phase 2",3.91202300542815,"More than three","False","Non-NME","Randomized","Single Group Assignment","Treatment","Single","FALSE","FALSE","TRUE","FALSE","0","1","0",0,"Industry",0,"International only","Drug","Autoimmune/immunology",61,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2163","NCT02415127","Phase 3",4.52178857704904,"Less than or equal to three","True","Biologic","Randomized","Parallel Assignment","Treatment","Double","TRUE","FALSE","TRUE","FALSE","0","0","0",0,"Industry",0.693147180559945,"U.S.A. only","Drug","Neurology",519,"Monotherapy","Y","N","Yes","No","No","No","Yes","1-3","1-2"
"2164","NCT02415023","Phase 2",3.52636052461616,"Less than or equal to three","True","NME","Other","Single Group Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","0","0","0",0,"Industry",0,"International only","Drug","Oncology",873,"Combination","N","N","No","No","No","No","No","1-3","1-2"
"2165","NCT02414958","Phase 3",6.59304453414244,"Less than or equal to three","False","NME","Randomized","Parallel Assignment","Treatment","Double","FALSE","FALSE","FALSE","FALSE","1","0","0",2.89037175789616,"Industry",0.693147180559945,"Both","Drug","Endocrine",846,"Monotherapy","Y","N","No","No","No","No","No","1-3","1-2"
"2166","NCT02414854","Phase 3",7.55066124310534,"More than three","True","Biologic","Randomized","Parallel Assignment","Treatment","Triple or quadruple","TRUE","TRUE","TRUE","FALSE","1","1","0",3.09104245335832,"Industry",0.693147180559945,"Both","Drug","Respiratory",941,"Monotherapy","Y","N","No","No","No","No","No","1-3","1-2"
"2167","NCT02414503","Phase 2",2.83321334405622,"Less than or equal to three","False","Non-NME","Randomized","Crossover Assignment","Not Treatment","Triple or quadruple","TRUE","FALSE","TRUE","TRUE","0","1","0",0,"Industry",1.09861228866811,"International only","Drug","Neurology",305,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2168","NCT02413398","Phase 3",5.77144112313002,"Less than or equal to three","False","NME","Randomized","Parallel Assignment","Treatment","Double","TRUE","FALSE","TRUE","FALSE","0","0","0",2.19722457733622,"Industry",0,"Both","Drug","Endocrine",876,"Monotherapy and Combo Therapy","N","N","No","No","No","No","No","1-3","1-2"
"2169","NCT02413372","Phase 2",5.21493575760899,"Less than or equal to three","True","Biologic","Randomized","Parallel Assignment","Treatment","Double","TRUE","FALSE","TRUE","FALSE","1","0","0",0,"Industry",0,"U.S.A. only","Drug","Endocrine",773,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2170","NCT02412878","Phase 3",6.16961073249146,"Less than or equal to three","True","NME","Randomized","Parallel Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","1","0","0",2.99573227355399,"Industry",0,"Both","Drug","Oncology",1216,"Combination","N","N","Yes","No","No","No","Yes","1-3","1-2"
"2171","NCT02412852","Phase 2",3.25809653802148,"More than three","True","Non-NME","Randomized","Parallel Assignment","Treatment","Triple or quadruple","TRUE","TRUE","TRUE","TRUE","0","1","0",0,"Industry",0.693147180559945,"U.S.A. only","Drug","Neurology",706,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2172","NCT02412306","Phase 2",4.18965474202643,"More than three","True","Biologic","Other","Single Group Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","1","0","0",0,"Industry",0.693147180559945,"International only","Drug","Oncology",1491,"Monotherapy","N","N","Yes","Yes","No","No","No","1-3","1-2"
"2173","NCT02412111","Phase 3",5.04985600724954,"Less than or equal to three","True","NME","Randomized","Parallel Assignment","Treatment","Triple or quadruple","TRUE","TRUE","TRUE","TRUE","1","0","0",2.30258509299405,"Industry",0,"Both","Drug","Respiratory",823,"Combination","N","N","Yes","Yes","No","No","No","1-3","1-2"
"2174","NCT02412020","Phase 2",3.95124371858143,"Less than or equal to three","False","Non-NME","Randomized","Crossover Assignment","Treatment","Triple or quadruple","TRUE","TRUE","TRUE","TRUE","0","0","0",0.693147180559945,"Industry",0,"International only","Drug","Respiratory",366,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2175","NCT02411708","Phase 2",3.17805383034795,"Less than or equal to three","True","Biologic","Randomized","Parallel Assignment","Treatment","Single","TRUE","FALSE","FALSE","FALSE","0","0","0",0,"Other",0,"U.S.A. only","Drug","Hematology",396,"Monotherapy","N","N","Yes","No","No","No","No","1-3","1-2"
"2176","NCT02410902","Phase 3",5.81413053182507,"Less than or equal to three","False","Biologic","Randomized","Parallel Assignment","Treatment","Triple or quadruple","TRUE","TRUE","TRUE","TRUE","0","0","0",0,"Industry",0,"U.S.A. only","Drug","Neurology",936,"Monotherapy","N","N","No","No","No","No","Yes","1-3","1-2"
"2177","NCT02409667","Phase 3",9.71032747056118,"More than three","False","Biologic","Randomized","Parallel Assignment","Treatment","Double","TRUE","FALSE","TRUE","FALSE","1","1","0",3.25809653802148,"Industry",0,"International only","Biological","Autoimmune/immunology",732,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2178","NCT02409524","Phase 2",2.70805020110221,"Less than or equal to three","False","Biologic","Other","Single Group Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","0","0","0",0,"Industry",0,"International only","Biological","Oncology",973,"Combination","N","N","No","No","No","No","No","1-3","1-2"
"2179","NCT02408796","Phase 2",3.66356164612965,"Less than or equal to three","False","Non-NME","Other","Single Group Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","0","0","0",0,"Industry",0,"U.S.A. only","Drug","Infectious Disease",61,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2180","NCT02408523","Phase 3",5.48893772615669,"Less than or equal to three","True","NME","Randomized","Parallel Assignment","Treatment","Triple or quadruple","TRUE","TRUE","TRUE","TRUE","0","0","0",3.17805383034795,"Industry",0.693147180559945,"Both","Drug","Neurology",1522,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2181","NCT02408484","Phase 3",2.70805020110221,"Less than or equal to three","True","Biologic","Other","Single Group Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","0","0","0",1.09861228866811,"Industry",0,"International only","Biological","Hematology",1258,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2182","NCT02407756","Phase 2",4.35670882668959,"Less than or equal to three","True","Biologic","Other","Single Group Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","1","0","0",1.79175946922805,"Industry",0.693147180559945,"International only","Drug","Allergy",366,"Monotherapy","N","N","No","Yes","No","No","No","1-3","1-2"
"2183","NCT02407054","Phase 2",3.13549421592915,"Less than or equal to three","False","NME","Randomized","Parallel Assignment","Treatment","Double","TRUE","FALSE","TRUE","FALSE","0","0","0",0,"Industry",0.693147180559945,"U.S.A. only","Drug","Oncology",1815,"Combination","N","N","No","No","No","No","No","1-3","1-2"
"2184","NCT02406209","Phase 2",3.80666248977032,"Less than or equal to three","False","NME","Randomized","Parallel Assignment","Treatment","Triple or quadruple","FALSE","TRUE","TRUE","TRUE","1","0","0",0,"Industry",0,"U.S.A. only","Drug","Ophthalmology",396,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2185","NCT02405780","Phase 3",6.46925031679577,"Less than or equal to three","False","Biologic","Randomized","Parallel Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","0","0","0",2.56494935746154,"Industry",0,"Both","Drug","Autoimmune/immunology",953,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
